,projects_x,ProjectID,shorthand_x,YEAR_x,LOC,LONGITUDE,LATITUDE,LINE,ERM,MST,PHT,RTLP,STLP,TWT,YLD_BE,EHT,SET,CLUSTER,LINE_UNIQUE_ID,Unnamed: 0_x,projects_y,projectID,shorthand_y,Unnamed: 0_y,MAB_PROJECT_ID,YEAR_y,GERMPLASM_ID,GENERATION_NAME,HG,FILE_LIST,CROSS,GERMPLASM_ID_TESTER
88,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,164,,18.7,,0.0,,55.6,141.364,,0303300303Z0,1,C1.1.164,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
89,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,19,,20.1,97.0,,,58.4,157.161,,0303300303Z0,1,C1.1.19,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
90,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,161,104.977,20.7,82.0,,,55.5,126.656,40.0,0303300303Z0,1,C1.1.161,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
91,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,2,,20.3,79.0,,,58.6,150.497,31.0,0303300303Z0,1,C1.1.2,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
92,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,6,100.792,18.4,85.0,,,55.8,148.306,37.0,0303300303Z0,1,C1.1.6,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
93,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,34,,19.1,92.0,,,58.8,154.672,37.0,0303300303Z0,1,C1.1.34,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
94,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,142,,20.9,,6.757,0.0,51.7,130.588,,0303300303Z0,1,C1.1.142,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
95,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,46,,18.2,,100.0,,55.8,117.134,,0303300303Z0,1,C1.1.46,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
96,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,145,,17.5,,59.459,,57.1,117.487,,0303300303Z0,1,C1.1.145,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
97,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,152,,19.0,87.0,,,58.9,151.04,37.0,0303300303Z0,1,C1.1.152,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
98,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,93,98.552,18.6,,0.0,0.0,57.1,151.145,,0303300303Z0,1,C1.1.93,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
99,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,186,105.1,23.3,,0.0,0.0,57.4,149.83,,0303300303Z0,1,C1.1.186,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
